DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
243053,243053,,Transmission,Mk10,DiveDepth,13:00:00 03-Sep-2024,-16.000000,1,0,,,,14,5,0,0,0,0,0,0,0,2,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,14:00:00 03-Sep-2024,-16.000000,1,0,,,,14,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,18:00:00 04-Sep-2024,-16.000000,1,0,,,,14,5,0,0,0,0,1,1,1,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,10:00:00 05-Sep-2024,-16.000000,1,0,,,,14,6,0,0,0,0,0,1,5,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,12:00:00 05-Sep-2024,-16.000000,1,0,,,,14,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,22:00:00 05-Sep-2024,-16.000000,1,0,,,,14,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,23:00:00 05-Sep-2024,-16.000000,1,0,,,,14,8,3,0,1,1,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,03:00:00 06-Sep-2024,-16.000000,1,0,,,,14,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,10:00:00 06-Sep-2024,-16.000000,1,0,,,,14,8,0,0,0,0,1,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,12:00:00 06-Sep-2024,-16.000000,1,0,,,,14,8,0,0,0,0,3,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,20:00:00 06-Sep-2024,-16.000000,1,0,,,,14,7,0,0,0,0,0,0,0,1,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,21:00:00 06-Sep-2024,-16.000000,1,0,,,,14,8,0,1,0,1,2,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,03:00:00 07-Sep-2024,-16.000000,2,0,,,,14,7,2,3,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,06:00:00 07-Sep-2024,-16.000000,1,0,,,,14,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,16:00:00 07-Sep-2024,-16.000000,1,0,,,,14,7,0,2,1,0,2,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,17:00:00 07-Sep-2024,-16.000000,1,0,,,,14,7,0,0,0,0,1,4,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,23:00:00 07-Sep-2024,-16.000000,1,0,,,,14,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,00:00:00 08-Sep-2024,-16.000000,1,0,,,,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,03:00:00 08-Sep-2024,-16.000000,1,0,,,,14,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,19:00:00 08-Sep-2024,-16.000000,1,0,,,,14,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,21:00:00 08-Sep-2024,-16.000000,2,0,,,,14,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,03:00:00 09-Sep-2024,-16.000000,1,0,,,,14,10,9,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,04:00:00 10-Sep-2024,-16.000000,1,0,,,,14,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,12:00:00 10-Sep-2024,-16.000000,2,0,,,,14,4,0,0,1,1,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,23:00:00 10-Sep-2024,-16.000000,1,0,,,,14,5,0,0,3,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,06:00:00 11-Sep-2024,-16.000000,1,0,,,,14,7,4,2,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,21:00:00 11-Sep-2024,-16.000000,1,0,,,,14,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,16:00:00 12-Sep-2024,-16.000000,1,0,,,,14,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,22:00:00 12-Sep-2024,-16.000000,1,0,,,,14,8,0,0,0,0,1,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,23:00:00 12-Sep-2024,-16.000000,1,0,,,,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,01:00:00 13-Sep-2024,-16.000000,1,0,,,,14,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,15:00:00 13-Sep-2024,-16.000000,2,0,,,,14,5,0,0,0,1,1,2,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,16:00:00 13-Sep-2024,-16.000000,1,0,,,,14,9,0,0,0,0,3,3,2,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,19:00:00 13-Sep-2024,-16.000000,1,0,,,,14,5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,21:00:00 13-Sep-2024,-16.000000,1,0,,,,14,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,05:00:00 14-Sep-2024,-16.000000,1,0,,,,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,09:00:00 14-Sep-2024,-16.000000,1,0,,,,14,5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,22:00:00 14-Sep-2024,-16.000000,1,0,,,,14,9,0,0,0,0,0,8,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,15:00:00 15-Sep-2024,-16.000000,1,0,,,,14,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,09:00:00 16-Sep-2024,-16.000000,1,0,,,,14,6,2,1,0,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDepth,20:00:00 19-Sep-2024,-16.000000,1,0,,,,14,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,16:00:00 22-Jul-2024,-18.000000,3,0,,,,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,17:00:00 22-Jul-2024,-18.000000,2,0,,,,13,8,0,0,0,4,1,2,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,18:00:00 22-Jul-2024,-18.000000,2,0,,,,13,8,0,0,1,3,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,20:00:00 22-Jul-2024,-18.000000,1,0,,,,13,7,0,0,0,5,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,21:00:00 22-Jul-2024,-18.000000,1,0,,,,13,9,0,0,0,3,3,2,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,22:00:00 22-Jul-2024,-18.000000,1,0,,,,13,7,0,0,0,3,2,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,23:00:00 22-Jul-2024,-18.000000,2,0,,,,13,9,0,0,0,4,3,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,02:00:00 23-Jul-2024,-18.000000,1,0,,,,13,2,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,03:00:00 23-Jul-2024,-18.000000,1,0,,,,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,04:00:00 23-Jul-2024,-18.000000,1,0,,,,13,5,0,0,0,4,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,06:00:00 23-Jul-2024,-18.000000,1,0,,,,13,5,0,0,0,3,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,08:00:00 23-Jul-2024,-18.000000,1,0,,,,13,5,0,0,0,1,1,1,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,16:00:00 23-Jul-2024,-18.000000,1,0,,,,13,7,0,0,0,0,0,2,4,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,05:00:00 24-Jul-2024,-18.000000,1,0,,,,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,07:00:00 24-Jul-2024,-18.000000,1,0,,,,13,3,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,08:00:00 24-Jul-2024,-18.000000,1,0,,,,13,4,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,14:00:00 24-Jul-2024,-18.000000,1,0,,,,13,5,0,0,0,0,0,0,0,0,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,17:00:00 24-Jul-2024,-18.000000,1,0,,,,13,5,0,0,0,0,0,0,0,0,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,22:00:00 24-Jul-2024,-18.000000,1,0,,,,13,4,0,0,0,0,0,0,0,0,1,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,23:00:00 24-Jul-2024,-18.000000,1,0,,,,13,2,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,02:00:00 25-Jul-2024,-18.000000,1,0,,,,13,4,0,0,0,2,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,03:00:00 25-Jul-2024,-18.000000,1,0,,,,13,4,0,0,0,1,0,0,0,0,0,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,05:00:00 25-Jul-2024,-18.000000,1,0,,,,13,3,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,13:00:00 25-Jul-2024,-18.000000,1,0,,,,13,6,0,0,0,0,0,0,1,1,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,14:00:00 25-Jul-2024,-18.000000,1,0,,,,13,5,0,0,0,0,0,0,3,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,16:00:00 25-Jul-2024,-18.000000,1,0,,,,13,7,0,0,0,0,1,2,2,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,11:00:00 26-Jul-2024,-18.000000,1,0,,,,13,7,0,0,0,1,0,0,2,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,13:00:00 26-Jul-2024,-18.000000,1,0,,,,13,5,0,0,0,0,0,0,0,1,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,23:00:00 26-Jul-2024,-18.000000,1,0,,,,13,5,0,0,0,0,0,0,2,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,02:00:00 27-Jul-2024,-18.000000,1,0,,,,13,3,0,0,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,04:00:00 27-Jul-2024,-18.000000,1,0,,,,13,7,0,0,1,4,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,08:00:00 27-Jul-2024,-18.000000,1,0,,,,13,7,0,0,0,1,2,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,14:00:00 27-Jul-2024,-18.000000,1,0,,,,13,7,0,0,0,1,0,1,2,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,16:00:00 27-Jul-2024,-18.000000,1,0,,,,13,7,0,0,0,0,0,2,2,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,22:00:00 27-Jul-2024,-18.000000,1,0,,,,13,4,0,0,0,0,0,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,23:00:00 27-Jul-2024,-18.000000,1,0,,,,13,8,0,0,0,0,1,1,4,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,02:00:00 28-Jul-2024,-18.000000,1,0,,,,13,2,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,03:00:00 28-Jul-2024,-18.000000,1,0,,,,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,04:00:00 28-Jul-2024,-18.000000,1,0,,,,13,3,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,07:00:00 28-Jul-2024,-18.000000,1,0,,,,13,4,0,0,0,0,0,0,0,0,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,11:00:00 28-Jul-2024,-18.000000,1,0,,,,13,6,0,0,0,1,2,1,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,12:00:00 28-Jul-2024,-18.000000,1,0,,,,13,6,0,0,0,0,0,0,3,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,21:00:00 28-Jul-2024,-18.000000,1,0,,,,13,6,0,0,0,0,0,1,2,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,22:00:00 28-Jul-2024,-18.000000,1,0,,,,13,6,0,0,0,0,1,0,2,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,02:00:00 29-Jul-2024,-18.000000,1,0,,,,13,2,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,07:00:00 29-Jul-2024,-18.000000,1,0,,,,13,2,0,0,0,1,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,16:00:00 29-Jul-2024,-18.000000,1,0,,,,13,5,0,0,0,0,0,0,0,1,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,19:00:00 29-Jul-2024,-18.000000,1,0,,,,13,7,0,0,0,0,1,1,2,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,22:00:00 29-Jul-2024,-18.000000,1,0,,,,13,9,0,0,0,3,1,2,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,08:00:00 30-Jul-2024,-18.000000,1,0,,,,13,2,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,12:00:00 30-Jul-2024,-18.000000,1,0,,,,13,4,0,0,0,0,0,0,0,1,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,15:00:00 30-Jul-2024,-18.000000,1,0,,,,13,4,0,0,0,0,0,0,0,0,0,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,20:00:00 30-Jul-2024,-18.000000,1,0,,,,13,5,0,0,0,0,0,0,0,0,2,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243053,243053,,Transmission,Mk10,DiveDuration,21:00:00 30-Jul-2024,-18.000000,1,0,,,,13,4,0,0,0,0,0,0,0,0,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
